eb_wave,eb_year,country,climate_risk_perception,Unnamed: 4
68.2,2007,Slovakia,0.49952605,
71.1,2009,Slovakia,0.40748033,
75.4,2011,Slovakia,0.32565129,
80.2,2013,Slovakia,0.32765532,
83.4,2015,Slovakia,0.39763778,
88.1,2017,Slovakia,0.27398524,
92.4,2019,Slovakia,0.26685935,
,2020,Slovakia,0.12911963,
95.1,2021,Slovakia,0.249,
97.3,2022,Slovakia,0.7066167,
68.2,2007,Slovenia,0.58562994,
71.1,2009,Slovenia,0.44975126,
75.4,2011,Slovenia,0.42618111,
80.2,2013,Slovenia,0.39909911,
83.4,2015,Slovenia,0.61432779,
88.1,2017,Slovenia,0.36097562,
92.4,2019,Slovenia,0.36282307,
,2020,Slovenia,0.21463415,
95.1,2021,Slovenia,0.35952848,
97.3,2022,Slovenia,0.38057142,
68.2,2007,Spain,0.55800003,
71.1,2009,Spain,0.30461538,
75.4,2011,Spain,0.32100001,
80.2,2013,Spain,0.35183349,
83.4,2015,Spain,0.414,
88.1,2017,Spain,0.58671951,
92.4,2019,Spain,0.58974361,
,2020,Spain,0.10500248,
95.1,2021,Spain,0.31380337,
97.3,2022,Spain,0.35682818,
68.2,2007,Sweden,0.72709358,
71.1,2009,Sweden,0.4242126,
75.4,2011,Sweden,0.36247545,
80.2,2013,Sweden,0.40119165,
83.4,2015,Sweden,0.76172608,
88.1,2017,Sweden,0.66893864,
92.4,2019,Sweden,0.6146245,
,2020,Sweden,0.20984216,
95.1,2021,Sweden,0.29856458,
97.3,2022,Sweden,0.31746033,
