CELEX,Directive name,Date of document,Date of effect,Amending,Country Code,Country,Measure Title,Transposition Deadline,Publication Date,Subject matter,Compliance_days,Compliance_weeks,Compliance_months
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz vom 4. März 2021, mit dem das Burgenländische Raumplanungsgesetz 2019 geändert wird",2021-06-30,2021-05-05,"Energy, Environment",-56.0,-8.0,-1.8666666666666667
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz vom 5. Februar 2025, mit dem das Tiroler Raumordnungsgesetz 2022 und das Tiroler Grundverkehrsgesetz 1996 geändert werden",2021-06-30,2025-02-07,"Energy, Environment",1318.0,188.28571428571428,43.93333333333333
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz vom 6. Juli 2022, mit dem das Tiroler Gas-, Heizungs- und Klimaanlagengesetz 2013 geändert wird",2021-06-30,2022-07-14,"Energy, Environment",379.0,54.142857142857146,12.633333333333333
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Gesetz vom 7. April 2022 zur Beschleunigung der Nutzung von erneuerbaren Energieträgern (Burgenländisches Erneuerbaren-Beschleunigungsgesetz - Bgld. EbBG),2021-06-30,2022-06-10,"Energy, Environment",345.0,49.285714285714285,11.5
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz vom 7. April 2022, mit dem das Burgenländische Elektrizitätswesengesetz 2006 und das Bgld. Starkstromwegegesetz geändert werden",2021-06-30,2022-04-20,"Energy, Environment",294.0,42.0,9.8
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz vom 7. Juli 2021, mit dem das Salzburger Raumordnungsgesetz 2009, das Bebauungsgrundlagengesetz, das Baupolizeigesetz 1997, das Salzburger Bautechnikgesetz 2015 und das Salzburger Bauproduktegesetz geändert werden",2021-06-30,2021-07-20,"Energy, Environment",20.0,2.857142857142857,0.6666666666666666
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz vom 9. Juni 2020, mit dem das Steiermärkische Baugesetz geändert wird",2021-06-30,2020-08-06,"Energy, Environment",-328.0,-46.857142857142854,-10.933333333333334
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz über die Erzeugung, Übertragung und Verteilung von elektrischer Energie (Elektrizitätswirtschaftsgesetz), LGBl.Nr. 59/2003, zuletzt geändert durch LGBl.Nr. 16/2024",2021-06-30,2024-02-06,"Energy, Environment",951.0,135.85714285714286,31.7
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz über die Raumplanung (Raumplanungsgesetz - RPG), LGBl.Nr. 39/1996, zuletzt geändert durch LGBl.Nr. 57/2024",2021-06-30,2024-09-12,"Energy, Environment",1170.0,167.14285714285714,39.0
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Gesetz über eine Änderung des Elektrizitätswirtschaftsgesetzes,2021-06-30,2020-11-25,"Energy, Environment",-217.0,-31.0,-7.233333333333333
